ID,DAILY_DEPOSIT_LIMIT,DAILY_DEPOSIT_TIMESTAMP,DAILY_BET_LIMIT,DAILY_BET_TIMESTAMP,WEEKLY_DEPOSIT_LIMIT,WEEKLY_DEPOSIT_TIMESTAMP,WEEKLY_BET_LIMIT,WEEKLY_BET_TIMESTAMP,MONTHLY_DEPOSIT_LIMIT,MONTHLY_DEPOSIT_TIMESTAMP,MONTHLY_BET_LIMIT,MONTHLY_BET_TIMESTAMP,SOFT_DELETION
1,29133919035,2019-09-27 01:00:27,91468847670,2018-11-13 03:43:51,47552166213,2019-07-25 01:40:04,70086475916,2019-05-25 20:32:54,33973254728,2019-09-15 22:28:09,66908127197,2019-02-18 14:26:31,DELETED
2,71271282040,2018-12-31 05:38:53,88476033258,2019-05-26 01:10:08,24292856855,2019-03-27 16:00:58,64242250619,2019-01-13 15:17:55,68273012171,2019-04-18 16:59:54,79709302168,2019-07-20 05:50:20,DELETED
3,97418540253,2019-04-27 04:09:46,90819491852,2019-03-11 17:49:31,73586636321,2019-02-11 02:20:46,72154079797,2019-08-06 10:12:56,67904010921,2019-03-14 17:45:56,14498641749,2019-05-12 10:52:59,DELETED
4,19841803611,2019-08-05 00:53:21,24324581422,2019-01-30 06:41:50,25887785783,2019-01-23 07:44:06,57635207990,2019-06-07 12:11:05,2511885829,2019-09-19 23:15:11,5159534559,2019-07-23 23:28:03,DELETED
5,76719907582,2019-05-25 11:10:12,84311526848,2019-04-19 19:52:05,62963371044,2019-04-13 07:49:12,91948858481,2019-04-16 16:16:32,61875703489,2019-08-17 15:57:39,87580275577,2019-03-19 11:44:31,DELETED
6,68412031375,2018-12-19 12:18:17,57698018678,2019-03-11 06:52:35,98188822435,2018-10-25 19:13:44,64573951649,2018-11-02 12:28:22,30038855262,2019-05-22 05:22:44,3230764093,2019-07-25 08:50:21,ENABLED
7,47115171750,2019-07-14 15:04:06,93045565911,2019-09-02 14:52:28,14597244381,2019-04-09 10:57:17,49993376547,2019-02-13 19:13:59,41492533480,2018-11-15 02:04:40,12010171063,2019-03-14 22:14:21,ENABLED
8,78237450655,2019-07-22 13:35:07,25946913967,2019-05-05 15:27:40,84182763528,2019-06-10 21:40:36,26724540759,2019-08-12 15:37:11,87154067621,2019-07-28 05:26:36,90367712041,2019-01-24 10:41:47,DELETED
9,61222747559,2019-07-15 08:02:16,88866102719,2018-10-24 13:10:03,5432470868,2019-01-09 02:09:53,31304219765,2019-07-14 20:04:52,89703578415,2019-06-30 09:56:02,20416342468,2018-11-08 12:44:41,ENABLED
10,27595492142,2018-11-11 01:23:24,652800789,2018-12-20 21:52:09,18925117961,2019-07-20 16:31:34,37637637660,2018-11-23 14:53:13,93826940064,2019-03-31 21:28:52,32491035944,2019-03-29 13:45:18,DELETED
11,28255159696,2019-02-26 03:20:07,46284048908,2019-06-26 08:45:55,67075542126,2018-10-24 07:42:06,4319822540,2019-08-21 04:13:23,94115625979,2019-04-10 15:00:44,39199503900,2019-10-01 10:02:32,DELETED
12,32147655460,2019-06-25 21:25:56,6643670850,2019-01-08 14:19:46,54411028433,2019-06-27 00:19:16,62460549293,2019-08-07 12:45:33,49697902752,2019-02-06 22:15:38,36360216273,2019-03-30 07:45:19,DELETED
13,93794047247,2019-03-11 04:33:33,46943517242,2019-03-19 17:13:42,10525434185,2019-10-09 01:18:50,87776622742,2019-02-18 04:14:52,39396702412,2019-07-28 17:50:23,6167571710,2018-11-17 20:05:27,ENABLED
14,41997433630,2019-02-19 04:23:24,33491502710,2019-03-09 04:12:42,54219778075,2018-11-25 08:52:32,55631855571,2019-07-19 22:16:26,61395944623,2019-04-21 06:16:40,26287841573,2019-06-27 05:19:56,DELETED
15,57579326520,2019-08-03 06:10:24,48395673939,2019-03-18 15:28:02,59890094731,2019-05-03 06:58:24,53325666320,2018-12-03 02:32:59,99732974495,2019-08-05 05:28:43,65423822933,2019-03-04 10:08:47,DELETED
16,94846088021,2019-04-29 00:29:43,22006281939,2019-10-14 04:51:52,83727647064,2018-11-28 12:42:24,16029617504,2019-09-09 18:57:02,20352903126,2018-11-20 14:59:02,7207869341,2019-05-29 09:41:41,ENABLED
17,17336301089,2019-09-06 08:30:06,39783651748,2019-06-02 12:28:55,83830075708,2019-04-20 18:18:51,71611316137,2019-10-16 05:18:03,3362861520,2019-09-13 05:39:42,76032335867,2019-02-14 23:22:42,ENABLED
18,30120490648,2019-07-10 04:45:08,71975022417,2019-05-09 21:05:23,64218395161,2019-09-16 14:11:49,96676296521,2019-02-18 08:09:44,513290020,2019-07-11 08:22:40,8292927372,2019-08-25 21:11:22,DELETED
19,69991949122,2019-05-06 10:04:34,10242034107,2018-11-14 19:35:30,57905591745,2018-12-10 19:37:44,98860737504,2019-06-30 20:50:31,56901487860,2019-04-18 20:51:48,50920958880,2019-06-29 07:50:57,ENABLED
20,24159887140,2019-08-13 18:25:22,97925941077,2019-02-01 21:14:11,71049375718,2018-11-18 06:30:26,30204560070,2019-05-19 03:05:10,18010162120,2019-04-29 02:01:19,4713287478,2018-12-14 18:17:45,DELETED
21,92655295947,2019-09-29 23:51:44,70468162534,2018-12-14 02:32:07,63516254204,2019-02-16 10:34:17,62630060793,2019-04-16 08:26:24,91116357233,2019-03-23 17:36:19,59807659559,2019-09-23 03:49:54,DELETED
22,15436058875,2018-11-13 13:50:16,34742777926,2019-09-12 13:15:07,39136137505,2019-06-05 22:27:47,3476561225,2019-08-23 16:28:29,53365969961,2019-04-14 23:59:07,24300244711,2019-10-19 17:39:35,DELETED
23,63859494218,2019-03-20 10:01:55,57991994838,2019-04-09 14:30:58,4128397051,2019-05-09 20:56:13,65283215569,2019-09-09 14:39:28,39096268237,2019-01-14 22:23:10,89599455733,2019-02-04 09:06:16,DELETED
24,8334490229,2019-01-02 04:05:27,84890904863,2019-08-19 09:59:50,28217585723,2019-07-07 15:31:07,50762444027,2019-04-08 03:28:12,89604921534,2019-10-12 08:25:23,82845304310,2019-03-09 01:06:42,DELETED
25,50138533309,2018-11-23 14:48:43,34098644850,2019-02-05 02:58:52,36797598899,2019-04-22 18:25:25,53070111219,2019-06-03 15:08:19,90607196559,2018-11-13 13:49:28,88562120591,2019-04-29 22:23:56,DELETED
